Category: All categories

Week,Python: (Worldwide)
2015-01-04,43
2015-01-11,46
2015-01-18,47
2015-01-25,47
2015-02-01,50
2015-02-08,50
2015-02-15,49
2015-02-22,48
2015-03-01,51
2015-03-08,50
2015-03-15,49
2015-03-22,50
2015-03-29,49
2015-04-05,49
2015-04-12,51
2015-04-19,51
2015-04-26,50
2015-05-03,49
2015-05-10,48
2015-05-17,50
2015-05-24,46
2015-05-31,50
2015-06-07,49
2015-06-14,50
2015-06-21,51
2015-06-28,48
2015-07-05,48
2015-07-12,48
2015-07-19,50
2015-07-26,49
2015-08-02,48
2015-08-09,47
2015-08-16,47
2015-08-23,51
2015-08-30,50
2015-09-06,52
2015-09-13,53
2015-09-20,53
2015-09-27,53
2015-10-04,55
2015-10-11,56
2015-10-18,55
2015-10-25,55
2015-11-01,56
2015-11-08,53
2015-11-15,57
2015-11-22,53
2015-11-29,56
2015-12-06,55
2015-12-13,54
2015-12-20,44
2015-12-27,40
2016-01-03,53
2016-01-10,57
2016-01-17,59
2016-01-24,62
2016-01-31,63
2016-02-07,61
2016-02-14,60
2016-02-21,64
2016-02-28,65
2016-03-06,66
2016-03-13,63
2016-03-20,61
2016-03-27,61
2016-04-03,64
2016-04-10,65
2016-04-17,65
2016-04-24,62
2016-05-01,59
2016-05-08,63
2016-05-15,62
2016-05-22,64
2016-05-29,64
2016-06-05,63
2016-06-12,63
2016-06-19,63
2016-06-26,61
2016-07-03,58
2016-07-10,58
2016-07-17,61
2016-07-24,60
2016-07-31,59
2016-08-07,56
2016-08-14,51
2016-08-21,60
2016-08-28,61
2016-09-04,62
2016-09-11,64
2016-09-18,68
2016-09-25,69
2016-10-02,66
2016-10-09,68
2016-10-16,69
2016-10-23,71
2016-10-30,71
2016-11-06,70
2016-11-13,75
2016-11-20,68
2016-11-27,74
2016-12-04,73
2016-12-11,71
2016-12-18,65
2016-12-25,52
2017-01-01,63
2017-01-08,71
2017-01-15,73
2017-01-22,74
2017-01-29,75
2017-02-05,80
2017-02-12,78
2017-02-19,82
2017-02-26,82
2017-03-05,83
2017-03-12,84
2017-03-19,83
2017-03-26,96
2017-04-02,82
2017-04-09,81
2017-04-16,80
2017-04-23,82
2017-04-30,77
2017-05-07,80
2017-05-14,76
2017-05-21,77
2017-05-28,73
2017-06-04,76
2017-06-11,79
2017-06-18,81
2017-06-25,77
2017-07-02,75
2017-07-09,78
2017-07-16,78
2017-07-23,77
2017-07-30,79
2017-08-06,75
2017-08-13,73
2017-08-20,76
2017-08-27,76
2017-09-03,80
2017-09-10,85
2017-09-17,86
2017-09-24,87
2017-10-01,89
2017-10-08,90
2017-10-15,89
2017-10-22,90
2017-10-29,90
2017-11-05,94
2017-11-12,92
2017-11-19,83
2017-11-26,90
2017-12-03,95
2017-12-10,88
2017-12-17,84
2017-12-24,63
2017-12-31,69
2018-01-07,84
2018-01-14,88
2018-01-21,92
2018-01-28,92
2018-02-04,94
2018-02-11,91
2018-02-18,93
2018-02-25,93
2018-03-04,93
2018-03-11,97
2018-03-18,96
2018-03-25,95
2018-04-01,92
2018-04-08,95
2018-04-15,96
2018-04-22,95
2018-04-29,85
2018-05-06,91
2018-05-13,93
2018-05-20,91
2018-05-27,91
2018-06-03,93
2018-06-10,94
2018-06-17,100
2018-06-24,91
2018-07-01,86
2018-07-08,92
2018-07-15,91
2018-07-22,91
2018-07-29,92
2018-08-05,89
2018-08-12,86
2018-08-19,91
2018-08-26,93
